"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","6,872,120","6,685,908","7,793,042","6,301,964","6,427,872","7,105,250","6,544,867","6,645,197","6,517,646","7,003,140","7,466,241"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","17,004","22,225"
,"純売上高","0","6,872,120","6,685,908","7,793,042","6,301,964","6,427,872","7,105,250","6,544,867","6,645,197","6,517,646","6,986,136","7,444,016"
"5111","期首棚卸高","0","401,892","477,515","460,660","557,565","482,893","503,668","490,159","546,689","527,731","475,131","533,752"
"5311","期末棚卸高        (△)","0","477,515","460,660","557,565","482,893","503,668","490,159","546,689","527,731","475,131","533,752","488,853"
"5211","商品仕入高","0","2,339,075","2,204,049","2,634,432","1,933,598","2,145,456","2,255,029","2,222,817","2,191,028","2,119,715","2,385,833","2,503,902"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","2,263,452","2,220,904","2,537,527","2,008,270","2,124,681","2,268,538","2,166,287","2,209,986","2,172,315","2,327,212","2,548,801"
,"売上総利益","0","4,608,668","4,465,004","5,255,515","4,293,694","4,303,191","4,836,712","4,378,580","4,435,211","4,345,331","4,658,924","4,895,215"
"6111","給与手当","0","705,544","675,076","743,172","721,788","728,666","693,666","695,666","720,072","745,929","746,529","573,029"
"6311","雑給","0","831,584","908,190","974,303","826,510","927,475","1,001,658","944,771","943,942","927,010","956,387","1,074,288"
"6112","旅費交通費","0","35,989","35,677","45,037","34,869","23,891","50,619","38,247","28,700","38,862","27,177","45,424"
"6113","広告宣伝費","0","130,380","92,996","145,050","140,963","83,670","142,955","149,408","106,714","100,238","134,014","122,221"
"6114","販売促進費","0","16,098","19,204","21,143","16,094","16,455","16,137","17,687","16,072","23,162","19,903","16,000"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","37,998","25,023","41,980","12,211","20,224","22,939","33,500","14,999","36,627","23,709","4,763"
"6117","支払手数料","0","154,492","120,978","211,571","202,575","355,480","132,988","150,446","352,715","145,326","333,715","243,537"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","60,500","60,500","972,500","60,500","60,500","60,500","60,500","60,500","235,728","60,500","60,500"
"6312","法定福利費","0","102,095","102,095","249,357","102,095","118,927","106,303","106,593","106,593","167,115","102,973","102,973"
"6226","厚生費","0","135,708","14,374","12,188","152,507","133,466","47,375","14,376","14,008","23,607","21,375","136,836"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","170,696","170,696","170,696","170,696","170,696","170,696","170,696","170,696","170,696","170,696","170,696"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","-124,049","450,951","350,951","350,951","350,951","350,951","350,951","350,951","350,951","350,951","350,951"
"6216","修繕／車両関係費","0","0","0","0","340,500","17,000","0","0","0","0","5,765","14,540"
"6217","事務用消耗品費","0","0","1,868","658","0","262","457","0","0","0","598","0"
"6218","通信交通費","0","33,561","7,199","0","32,807","16,429","0","32,495","16,303","0","32,440","0"
"6219","水道光熱費","0","220,885","142,796","203,491","143,405","207,678","150,075","206,910","149,415","201,494","177,687","286,579"
"6221","租税公課","0","0","0","0","0","0","0","0","600","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","23,591","19,343","0","22,144","10,300","15,368","24,382","27,130","3,273","15,343"
"6224","保険料","0","0","30,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
