"ｺｰﾄﾞ","勘定科目名"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"
"4111","売上高","0","0","0","0","0","0","0","0","0","0","13,918,736","14,243,425"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","0","13,918,736","14,243,425"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","13,727,568","12,808,119"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","12,808,119","15,138,283"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","3,704,869","7,068,320"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","4,624,318","4,738,156"
,"売上総利益","0","0","0","0","0","0","0","0","0","0","9,294,418","9,505,269"
"6111","給与手当","0","0","0","0","0","0","0","0","0","0","1,422,910","1,509,473"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","2,434,873","2,450,412"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","0","99,967","109,126"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","885,314","991,214"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","183,973","237,517"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","2,200","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","35,041","17,834"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","0","490,726","517,352"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","60,333","60,333"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","0","491,838","412,454"
"6226","厚生費","0","0","0","0","0","0","0","0","0","0","17,000","32,588"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","116,664","116,664"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","640,818","640,818"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","91,780","22,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","16,949","11,960"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","0","737,852","508,982"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","5,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","60,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","0","894,593","510,207"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","0","288,641","312,361"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","12,595"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","0","8,911,472","8,538,890"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","0","382,946","966,379"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","12,875","13,197"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","12,875","13,197"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","0","395,821","979,576"
