コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月
500,売上高,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
501,売上高Ⅱ,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000,2000000,2000000,2000000,2000000,2000000,,,,,,,
502,売上高(保育),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
503,売上高(飲食),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
510,家賃収入,1605000,1605000,1605000,1605000,1605000,1605000,1605000,1605000,1605000,1605000,1605000,1605000,1795000,1795000,1835000,1755000,1755000,,,,,,,
511,駐車場収入,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,26000,0,0,,,,,,,
,純売上高,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3808000,3808000,3861000,3755000,3755000,,,,,,,
,当期製品製造原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
620,期首材料棚卸高,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
623,原材料仕入,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
635,期末材料棚卸高,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,売上原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,売上総利益,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3318000,3808000,3808000,3861000,3755000,3755000,,,,,,,
740,役員報酬,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,0,0,0,0,0,,,,,,,
741,給料,558300,551927,558300,553200,548100,558300,559600,564800,564280,554400,554400,560738,2134931,2073569,570475,568113,571000,,,,,,,
742,賞与,138000,138000,126000,126000,126000,126000,126000,126000,126000,126000,126000,126000,126000,126000,154000,154000,154000,,,,,,,
743,退職給与,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000000,0,0,,,,,,,
744,法定福利費,181691,182571,295820,182534,182520,185278,185277,185281,324234,185270,185278,183370,185211,77472,200188,77920,77950,,,,,,,
745,外注給与,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
750,福利厚生費,10000,0,0,31518,0,0,0,0,2727,2727,0,0,0,0,21518,0,0,,,,,,,
751,会議費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
752,工具器具備品,171286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
753,消耗品費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
754,事務用品費,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,0,1164,0,,,,,,,
756,通勤費,12098,10577,13247,13163,10510,13695,13755,14002,12386,11956,13603,14635,14032,11209,14605,8109,11965,,,,,,,
757,旅費交通費,0,0,0,0,0,0,0,0,0,0,3454,0,0,2581,0,0,0,,,,,,,
758,採用費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
759,運賃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
761,通信費,7255,10288,7842,6672,9640,8950,6415,9331,7061,9684,6415,10600,7416,10039,7180,7012,10972,,,,,,,
762,水道光熱費,-1485,-7329,-4243,-5822,188,-3368,2035,-5585,-2046,-4523,7297,9796,8855,-489,-33409,23361,26863,,,,,,,
765,教育研修費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
766,保険料,-268838,201156,201156,201156,201156,204935,203446,203904,200912,200912,202078,202290,204537,204507,-85939,59284,59284,,,,,,,
768,減価償却費,585950,585950,585950,585950,585950,585950,585950,585950,585950,585950,585950,585950,581770,581770,581770,581770,581770,,,,,,,
769,家賃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
770,賃借料,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,41677,43833,43041,43041,43041,43041,43041,,,,,,,
771,修繕費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
772,清掃整備費,46300,31300,31300,31300,46300,31300,31300,103300,31300,113300,31300,31300,31300,46300,31300,31300,46300,,,,,,,
773,租税公課,204000,299300,0,4000,498000,297600,0,0,498000,0,201000,0,204000,298500,20000,0,518250,,,,,,,
774,外注費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
775,広告宣伝費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
776,接待交際費,0,0,0,0,5000,0,0,0,0,5000,0,0,0,0,0,0,5000,,,,,,,
777,諸会費,10250,22250,10250,10250,10250,10250,11500,10250,10250,10250,10250,10250,10250,22250,10250,10250,10250,,,,,,,
778,支払手数料,60650,59150,208250,59550,58650,58650,58650,58150,58150,59050,68050,58050,59850,58950,389868,240768,326148,,,,,,,
779,雑  費,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,販売費及び一般管理費,3257134,3626817,3575549,3341148,3823941,3619217,3325605,3397060,3960881,3401653,3536752,3336812,3611193,3556740,111924847,1806092,2442793,,,,,,,
,営業利益,60866,308817,-257549,-23148,-505941,-301217,-7605,-79060,-642881,-83653,-218752,-18812,196807,251260,-108063847,1948908,1312207,,,,,,,
800,受取利息,1298,1151,1016,736,832,578,493,427,318,0,108,0,0,0,0,0,128,,,,,,,
801,受取配当金,0,0,20000200,0,0,0,0,0,0,0,0,0,0,0,100000200,0,0,,,,,,,
802,受取保険金,5977177,0,0,0,0,0,0,0,0,0,0,0,0,0,16232942,0,0,,,,,,,
810,投資有価証券売却益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
820,雑収入,1135301,919461,41207654,929849,1086521,898150,885802,875830,1704146,863302,873022,875070,905235,897459,1610132,907862,921470,,,,,,,
,営業外収益,7113776,920612,61208870,930585,1087353,898728,886295,876257,1704464,863302,873130,875070,905235,897459,117843274,907862,921598,,,,,,,
830,支払利息,61503,61858,68959,54230,75130,62071,50250,70822,49847,65535,52287,55038,44304,60723,45068,43051,47514,,,,,,,
840,雑損失,921067,488698,1196328,488698,488698,488698,488698,488698,1312333,488698,488698,488083,488294,488294,1183484,488083,488083,,,,,,,
,営業外費用,982570,550556,1265287,542928,563828,550769,538948,559520,1362180,554233,540985,543121,532598,549017,1228552,531134,535597,,,,,,,
,経常利益,6192072,61239,59686034,364509,17584,46742,339742,237677,-300597,225416,113393,313137,569444,599702,8550875,2325636,1698208,,,,,,,
,特別利益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
921,固定資産除却損,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,特別損失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,税引前当期純利益,6192072,61239,59686034,364509,17584,46742,339742,237677,-300597,225416,113393,313137,569444,599702,8550875,2325636,1698208,,,,,,,
