"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"4111","売上高","0","0","0","0","14,651,582","16,870,371","20,986,445","16,015,271","15,087,895","21,307,246","15,157,750","15,199,652"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","14,651,582","16,870,371","20,986,445","16,015,271","15,087,895","21,307,246","15,157,750","15,199,652"
"5111","期首棚卸高","0","0","0","0","2,087,533","2,111,831","1,955,276","4,825,045","2,250,871","2,008,262","2,194,789","2,083,994"
"5311","期末棚卸高        (△)","0","0","0","0","2,111,831","1,955,276","4,825,045","2,250,871","2,008,262","2,194,789","2,083,994","1,990,501"
"5211","商品仕入高","0","0","0","0","6,789,555","7,239,410","12,281,763","4,903,613","6,708,098","8,716,443","6,423,995","6,258,865"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","6,765,257","7,395,965","9,411,994","7,477,787","6,950,707","8,529,916","6,534,790","6,352,358"
,"売上総利益","0","0","0","0","7,886,325","9,474,406","11,574,451","8,537,484","8,137,188","12,777,330","8,622,960","8,847,294"
"6111","給与手当","0","0","0","0","946,900","1,169,100","1,242,600","1,067,450","1,053,450","1,100,452","1,337,170","1,332,051"
"6311","雑給","0","0","0","0","2,699,312","2,579,736","3,176,871","2,734,170","2,564,162","2,731,001","2,224,678","2,300,076"
"6112","旅費交通費","0","0","0","0","124,245","115,100","112,757","113,204","50,730","228,009","126,406","133,664"
"6113","広告宣伝費","0","0","0","0","828,179","768,163","905,634","980,520","553,294","846,577","694,218","520,263"
