ｺｰﾄﾞ,勘定科目名,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,31年  1月,31年  1月累計
4111,売上高,"1,586,537","2,137,278","1,117,093","1,318,389","1,366,977","1,303,574","1,200,185","1,503,194","1,466,908","1,350,926","2,365,833","1,463,889","6,647,556"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"1,586,537","2,137,278","1,117,093","1,318,389","1,366,977","1,303,574","1,200,185","1,503,194","1,466,908","1,350,926","2,365,833","1,463,889","6,647,556"
5111,期首たな卸高,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,0,0,0,"47,910",0,"47,647","23,244","23,690","67,899",0,0,0,"67,899"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,当期売上原価,0,0,0,"47,910",0,"47,647","23,244","23,690","67,899",0,0,0,"67,899"
,売上総利益,"1,586,537","2,137,278","1,117,093","1,270,479","1,366,977","1,255,927","1,176,941","1,479,504","1,399,009","1,350,926","2,365,833","1,463,889","6,579,657"
6111,給与手当,"1,604,485","2,414,885","1,741,060","2,172,142","2,285,045","2,396,640","2,181,380","2,429,339","2,455,196","2,494,953","3,141,066","2,358,813","10,450,028"
6311,雑給,"-184,000","-563,000",0,0,0,0,0,0,0,0,0,"4,363","4,363"
6112,旅費交通費,"344,500","263,301","468,918","257,373","276,200","370,536","411,879","331,875","346,643","326,614","267,834","303,605","1,244,696"
6113,広告宣伝費,"900,306","3,167,329","1,154,236","1,243,947","3,939,650","925,575","1,281,582","3,322,023","2,764,715","731,907","410,026","1,198,555","5,105,203"
6114,販売促進費,"311,604","318,247","512,015","343,371","985,424","341,458",0,0,0,0,0,0,0
6115,荷造発送費,0,0,0,0,0,0,0,0,0,"2,130",0,0,"2,130"
6116,外注費,"191,444","88,204",0,"75,519","81,537","81,537","21,537","21,537","138,056","31,556","32,000",0,"201,612"
6117,支払手数料,"15,956","16,254","15,808","16,317","23,914","22,639","20,242","21,380","29,378","35,364","23,853","30,437","119,032"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,"600,000","800,000",0,0,0,0,"641,250","215,000","856,250"
6312,法定福利費,"117,373","117,373","117,373","198,638","285,281","333,759","215,199","339,373","256,381","256,381","444,525","203,048","1,160,335"
6226,厚生費,"140,139","38,599",0,"190,104",0,"378,739","624,376","428,465","21,798","46,335","2,778","24,242","95,153"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,0,0,0,0,0,0,0,0,0,0,0,0,0
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,0,0,0,0,0,0,0,0,0,"92,593",0,"115,741","208,334"
6216,修繕／車両関係費,"646,371","339,362","-249,852","223,562","65,798","-143,723","152,533","20,833","403,564","547,963","421,320","1,319,700","2,692,547"
6217,事務用消耗品費,0,0,0,0,0,0,0,0,0,0,0,0,0
6218,通信交通費,"37,871","27,109","20,504","23,322","20,420","27,376","21,421","19,569","20,415","35,373","34,768","41,157","131,713"
6219,水道光熱費,0,0,0,0,0,0,0,0,0,970,0,"7,994","8,964"
6221,租税公課,"140,311","32,071","20,049","145,553",0,"26,365","29,010","11,513","61,834","96,600","21,826","52,716","232,976"
6222,寄付金,0,"10,000",0,0,"20,000",0,0,0,0,0,0,0,0
6223,接待交際費,0,0,0,"6,058","5,839",0,0,0,0,0,0,0,0
6224,保険料,"101,920","50,950",0,"15,370",0,"25,070","25,070",0,"49,040","72,030","25,070","31,790","177,930"
6225,備品消耗品費,"9,406",0,0,"12,100","17,839","15,719","16,550","1,190","21,503",0,"114,000","58,907","194,410"
6227,管理諸費,"115,694","7,480",0,0,"11,380","57,612",0,"14,697","17,107","51,000",0,0,"68,107"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,"5,000",0,0,0,0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"4,493,380","6,333,164","3,800,111","4,923,376","8,618,327","5,659,302","5,000,779","6,961,794","6,585,630","4,821,769","5,580,316","5,966,068","22,953,783"
,営業利益（損失）,"-2,906,843","-4,195,886","-2,683,018","-3,652,897","-7,251,350","-4,403,375","-3,823,838","-5,482,290","-5,186,621","-3,470,843","-3,214,483","-4,502,179","-16,374,126"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
