"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","0","0","0","0","0","0","0","5,603,931","5,897,933","10,998,980","9,221,757","6,760,029"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","20,766","25,095","49,739","36,275","21,725"
,"純売上高","0","0","0","0","0","0","0","5,583,165","5,872,838","10,949,241","9,185,482","6,738,304"
"5111","期首棚卸高","0","0","0","0","0","0","0","421,376","437,977","531,000","865,707","632,729"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","437,977","531,000","865,707","632,729","561,338"
"5211","商品仕入高","0","0","0","0","0","0","0","711,811","867,125","1,025,594","1,134,287","760,170"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","695,210","774,102","690,887","1,367,265","831,561"
,"売上総利益","0","0","0","0","0","0","0","4,887,955","5,098,736","10,258,354","7,818,217","5,906,743"
"6111","給与手当","0","0","0","0","0","0","0","80,000","154,976","80,000","80,000","153,720"
"6311","雑給","0","0","0","0","0","0","0","1,061,840","1,154,624","1,635,403","1,292,104","1,163,011"
"6112","旅費交通費","0","0","0","0","0","0","0","21,037","27,303","34,080","32,144","27,826"
"6113","広告宣伝費","0","0","0","0","0","0","0","-47,435","82,676","28,476","60,538","51,099"
"6114","販売促進費","0","0","0","0","0","0","0","16,953","25,206","25,037","25,838","19,454"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","480,096","487,278","492,724","200,990","845,746"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
