"ｺｰﾄﾞ","勘定科目名"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"
"4111","売上高","0","0","0","0","0","0","0","0","6,872,120","6,685,908","7,793,042","6,301,964"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","6,872,120","6,685,908","7,793,042","6,301,964"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","401,892","477,515","460,660","557,565"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","477,515","460,660","557,565","482,893"
"5211","商品仕入高","0","0","0","0","0","0","0","0","2,339,075","2,204,049","2,634,432","1,933,598"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","2,263,452","2,220,904","2,537,527","2,008,270"
,"売上総利益","0","0","0","0","0","0","0","0","4,608,668","4,465,004","5,255,515","4,293,694"
"6111","給与手当","0","0","0","0","0","0","0","0","705,544","675,076","743,172","706,788"
"6311","雑給","0","0","0","0","0","0","0","0","831,584","908,190","974,303","826,510"
"6112","旅費交通費","0","0","0","0","0","0","0","0","35,989","35,677","45,037","34,869"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","130,380","92,996","145,050","140,963"
"6114","販売促進費","0","0","0","0","0","0","0","0","16,098","19,204","21,143","16,094"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","37,998","25,023","41,980","12,211"
"6117","支払手数料","0","0","0","0","0","0","0","0","154,492","120,978","211,571","202,575"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","60,500","60,500","972,500","60,500"
"6312","法定福利費","0","0","0","0","0","0","0","0","102,095","102,095","249,357","102,095"
"6226","厚生費","0","0","0","0","0","0","0","0","135,708","14,374","12,188","152,507"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","170,696","170,696","170,696","170,696"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","-124,049","450,951","350,951","350,951"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","340,500"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","1,868","658","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","33,561","7,199","0","32,807"
"6219","水道光熱費","0","0","0","0","0","0","0","0","220,885","142,796","203,491","143,405"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","23,591","19,343","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","30,000","15,000","15,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","85,364","58,833","127,788","61,690"
"6227","管理諸費","0","0","0","0","0","0","0","0","38,190","58,678","126,090","32,490"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","7,800","7,800","7,800","7,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
