コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月,5年 4月,5年 5月,5年 6月,5年 7月,5年 8月,5年 9月,5年 10月,5年 11月,5年 12月,6年 1月,6年 2月,6年 3月,6年 4月,6年 5月,6年 6月,6年 7月,6年 8月
500,売上高,1592037,1697013,1634306,1259017,894764,1121252,919410,859952,949302,918146,916354,283000,198500,198500,237000,213000,249000,238000,206500,214500,151673,0,0,0,538604,628954,799142,670931,831468,708442,749411,621879,602486,580134,659524,712679,668650,818897,815571,775864,679730
501,売上高Ⅱ,1710000,1710000,1722000,1770000,1770000,1716000,1710000,1710000,1640000,1710000,1710000,1710000,1710000,1710000,1710000,1692581,1650000,1650000,1650000,1590000,1642258,1650000,1647857,1650000,1650000,1615000,1650000,1539677,1530000,1530000,1495000,1400000,1400000,1400000,1400000,1400000,1365000,1400000,1400000,1400000,1400000
502,売上高(保育),41597924,41433082,41466286,42316347,43185092,41170421,41872726,41491152,41188084,41819848,41415878,45437072,40301449,40984705,40734004,42621419,42658518,42549551,42390977,42755570,42940110,43726095,43149850,64225644,41080451,42005015,42518611,42841944,43784368,42690407,43483442,47354754,45231962,45240484,46328239,72926744,44567941,44935255,45680742,45335327,46663959
503,売上高(飲食),0,0,0,0,0,0,0,0,0,0,0,0,4788940,4736700,5087760,4703210,4629920,4839790,4885020,4906670,4854970,4688130,4811250,4991390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,家賃収入,148000,148000,148000,196000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,駐車場収入,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,45047961,44988095,44970592,45541364,45899856,44057673,44552136,44111104,43827386,44497994,44092232,47480072,47048889,47679905,47768764,49230210,49187438,49277341,49132497,49466740,49589011,50064225,49608957,70867034,43269055,44248969,44967753,45052552,46145836,44928849,45727853,49376633,47234448,47220618,48387763,75039423,46601591,47154152,47896313,47511191,48743689
,当期製品製造原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,期首材料棚卸高,258312,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,269921,277891,297676,264963,277112,313983,268758,276365,282285,281498,296208,303550,337559,267997,299514,297329,270615,299931,317392,252354,257793,280722,264676,301399
623,原材料仕入,1358418,1188896,1397956,1338234,1234797,1271486,1400268,1416703,1388884,1314063,1130981,1361848,1340473,1259125,1545915,1475978,1448249,1550915,1531187,1660155,1636549,1542949,1639368,1841274,1640776,1772964,1854979,1828876,1991565,1702785,1926747,1967028,2099297,1787443,1813482,1889635,1908243,2119584,2159765,2230168,1904282
635,期末材料棚卸高,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,269921,277891,297676,264963,277112,313983,268758,276365,282285,281498,296208,303550,337559,267997,299514,297329,270615,299931,317392,252354,257793,280722,264676,301399,364360
,売上原価,1389789,1183422,1399774,1347621,1195953,1295147,1401526,1417837,1416980,1245798,1109951,1399107,1342636,1257218,1526645,1470497,1461064,1542945,1511402,1692868,1624400,1506078,1684593,1833667,1634856,1773751,1840269,1821534,1957556,1772347,1895230,1969213,2126011,1758127,1796021,1954673,1902804,2096655,2175811,2193445,1841321
,売上総利益,43658172,43804673,43570818,44193743,44703903,42762526,43150610,42693267,42410406,43252196,42982281,46080965,45706253,46422687,46242119,47760013,47726374,47734396,47621095,47773872,47964611,48558147,47924364,69033367,41634199,42475218,43127484,43231018,44188280,43156502,43832623,47407420,45108437,45462491,46591742,73084750,44698787,45057497,45720502,45317746,46902368
740,役員報酬,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
