"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","6,230,988","6,251,095","6,734,075","7,511,254","5,890,270","7,741,801","6,358,558","6,873,048","7,167,365","7,739,763","8,218,898"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","6,230,988","6,251,095","6,734,075","7,511,254","5,890,270","7,741,801","6,358,558","6,873,048","7,167,365","7,739,763","8,218,898"
"5111","期首棚卸高","0","404,867","380,754","357,593","601,654","445,237","406,907","390,421","427,267","313,134","337,440","454,255"
"5311","期末棚卸高        (△)","0","380,754","357,593","601,654","445,237","406,907","390,421","427,267","313,134","337,440","454,255","460,425"
"5211","商品仕入高","0","1,763,746","1,834,333","1,639,071","2,507,242","1,564,258","2,019,494","1,747,449","1,703,608","1,878,780","2,085,356","2,239,405"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","1,787,859","1,857,494","1,395,010","2,663,659","1,602,588","2,035,980","1,710,603","1,817,741","1,854,474","1,968,541","2,233,235"
,"売上総利益","0","4,443,129","4,393,601","5,339,065","4,847,595","4,287,682","5,705,821","4,647,955","5,055,307","5,312,891","5,771,222","5,985,663"
"6111","給与手当","0","591,800","543,800","620,870","788,800","793,800","830,870","780,800","782,574","801,300","832,344","828,096"
"6311","雑給","0","1,111,007","999,552","1,142,331","1,220,805","949,714","1,125,930","949,808","1,066,130","1,019,848","1,048,446","1,192,104"
"6112","旅費交通費","0","106,538","73,926","65,922","73,090","82,816","75,671","68,006","81,121","78,348","67,726","70,632"
"6113","広告宣伝費","0","30,909","10,000","10,000","15,000","5,000","5,000","5,000","5,000","5,000","5,000","11,607"
"6114","販売促進費","0","0","7,660","1,123","7,476","0","0","2,826","0","8,512","0","26,137"
"6115","荷造発送費","0","0","1,527","0","3,029","0","1,280","1,210","1,690","0","1,690","0"
"6116","外注費","0","0","0","0","0","0","0","0","19,950","0","0","0"
"6117","支払手数料","0","712,878","688,876","692,963","1,321,433","961,281","976,718","427,004","624,493","1,054,307","983,366","1,095,927"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","49,583","49,583","181,840","49,583","49,583","49,583","49,583","49,583","-37,842","49,583","49,583"
"6312","法定福利費","0","124,424","142,047","202,214","172,902","192,537","192,537","192,926","181,706","231,671","174,926","174,845"
"6226","厚生費","0","64,233","106,506","64,233","68,033","259,366","115,928","118,923","110,758","158,940","16,792","66,688"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","170,343","170,343","170,343","170,343","170,343","170,343","170,343","170,343","170,343","170,343","170,343"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","560,789","646,597","606,064","676,011","537,186","696,761","572,269","618,572","645,061","696,577","739,699"
"6216","修繕／車両関係費","0","0","52,668","0","14,900","0","0","0","12,000","38,880","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
