ｺｰﾄﾞ,勘定科目名, 3年 11月, 3年 12月, 4年  1月, 4年  2月, 4年  3月, 4年  4月, 4年  5月, 4年  6月, 4年  7月, 4年  8月, 4年  9月
4111,売上高,"16,584,986","25,922,644","17,079,480","9,030,949","14,345,302","13,105,174","13,883,585","12,041,174","14,332,746","13,824,608","12,321,162"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0
,純売上高,"16,584,986","25,922,644","17,079,480","9,030,949","14,345,302","13,105,174","13,883,585","12,041,174","14,332,746","13,824,608","12,321,162"
5111,期首棚卸高,"6,608,653","4,771,707","7,761,369","8,575,405","7,707,507","6,820,620","6,287,253","5,770,552","4,598,466","5,280,691","9,789,654"
5211,商品仕入高,"3,674,440","13,760,252","6,914,101","2,442,378","3,949,464","3,904,745","4,253,234","3,134,701","5,538,923","9,305,960","6,207,116"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),"4,771,707","7,761,369","8,575,405","7,707,507","6,820,620","6,287,253","5,770,552","4,598,466","5,280,691","9,789,654","11,644,972"
,当期売上原価,"5,511,386","10,770,590","6,100,065","3,310,276","4,836,351","4,438,112","4,769,935","4,306,787","4,856,698","4,796,997","4,351,798"
,売上総利益,"11,073,600","15,152,054","10,979,415","5,720,673","9,508,951","8,667,062","9,113,650","7,734,387","9,476,048","9,027,611","7,969,364"
6111,給与手当,"1,728,000","1,763,000","1,764,008","1,718,000","1,678,100","1,720,000","1,468,000","1,588,000","1,605,137","1,629,264","1,468,000"
6311,雑給,"2,246,918","2,881,321","2,842,847","2,419,105","2,517,805","2,167,496","2,505,695","2,368,004","2,441,954","2,589,736","2,302,197"
6112,旅費交通費,"94,888","100,975","105,839","87,293","94,693","83,380","83,060","67,666","107,529","73,660","96,679"
6113,広告宣伝費,"907,078","1,278,930","848,343","634,648","998,157","1,013,146","870,417","822,022","1,127,907","714,707","775,844"
6114,販売促進費,"209,157","110,618","247,318","149,512","225,170","270,867","220,110","214,697","202,300","213,181","248,369"
6115,荷造発送費,0,"10,660",0,0,0,0,0,0,0,"1,460",0
6116,外注費,0,0,0,0,0,0,0,0,0,"86,708","30,994"
6117,支払手数料,"458,849","586,342","708,784","277,333","400,354","463,108","690,295","411,040","379,854","455,163","576,337"
6118,,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,"160,000",0,0,0,0,"478,750","92,250","92,250","92,250","92,250"
6312,法定福利費,"358,909","380,824","358,909","370,241","362,262","361,988","424,634","457,348","394,800","358,335","373,590"
6226,厚生費,"56,794","10,182","195,309","16,361","115,249","53,442","46,623","78,538","52,721","88,169","117,078"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"216,391","216,391","216,391","216,391","216,391","216,391","216,391","216,391","216,391","216,391","216,391"
6234,,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000"
6216,修繕／車両関係費,0,0,"30,000",0,0,0,"307,280","292,900","515,150","78,700","853,091"
6217,事務用消耗品費,"1,300",864,"4,728",0,0,0,0,0,0,0,0
6218,通信交通費,"38,993","15,668","30,604","15,989","22,059","15,314","15,217","20,783","15,408","15,226","22,472"
6219,水道光熱費,"544,862","488,124","742,184","703,989","684,279","552,883","628,115","575,791","717,241","791,878","931,899"
6221,租税公課,"5,000","5,000","3,000",0,"3,000","4,000","2,000","3,000","5,000","4,000","3,000"
6222,寄付金,0,0,0,0,0,"20,000",0,0,0,0,0
6223,接待交際費,0,0,0,0,0,0,0,0,0,0,0
6224,保険料,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
6225,備品消耗品費,"388,231","722,323","581,381","392,948","427,644","334,291","582,425","656,108","457,847","917,504","642,060"
