"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","0","0","0","0","0","0","0","6,881,078","5,404,786","6,913,774","5,366,364","0"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","6,881,078","5,404,786","6,913,774","5,366,364","0"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","698,111","713,140","607,590","649,360"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","698,111","713,140","607,590","649,360","663,188"
"5211","商品仕入高","0","0","0","0","0","0","0","2,456,919","1,798,680","2,221,772","1,765,922","1,346,369"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","1,758,808","1,783,651","2,327,322","1,724,152","1,332,541"
,"売上総利益","0","0","0","0","0","0","0","5,122,270","3,621,135","4,586,452","3,642,212","-1,332,541"
"6111","給与手当","0","0","0","0","0","0","0","148,400","159,400","379,400","375,270","384,835"
"6311","雑給","0","0","0","0","0","0","0","1,807,510","1,431,543","1,239,188","1,125,072","970,571"
"6112","旅費交通費","0","0","0","0","0","0","0","88,055","80,309","119,064","63,270","41,591"
"6113","広告宣伝費","0","0","0","0","0","0","0","60,000","354,367","56,687","46,127","15,000"
"6114","販売促進費","0","0","0","0","0","0","0","18,182","2,160","30,422","1,180","2,684"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","521,824","451,024","552,357","444,614","577,907"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","30,000","30,000","85,456","30,000","30,000"
"6312","法定福利費","0","0","0","0","0","0","0","110,615","110,615","135,158","141,470","149,605"
"6226","厚生費","0","0","0","0","0","0","0","57,187","57,188","91,743","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","508,821","508,821","508,821","508,821","508,821"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","770,965","27,273","754,546","27,273","422,728"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","46,200","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","13,700","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","33,250","6,405","6,535","6,966","6,383"
"6219","水道光熱費","0","0","0","0","0","0","0","44,980","269,093","215,494","296,186","231,680"
"6221","租税公課","0","0","0","0","0","0","0","0","200","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","13,827","13,489","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","30,000","15,000","15,000","15,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","215,044","859,572","108,190","26,820","53,342"
"6227","管理諸費","0","0","0","0","0","0","0","59,361","39,991","62,595","35,046","57,144"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","12,000","0","0","0","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
