"ｺｰﾄﾞ","勘定科目名"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"
"4111","売上高","0","0","0","0","0","0","0","0","7,214,226","7,512,742","10,796,866","8,816,920"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","7,214,226","7,512,742","10,796,866","8,816,920"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","1,558,059","1,590,052","2,391,195","2,691,702"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","1,590,052","2,391,195","2,691,702","1,903,581"
"5211","商品仕入高","0","0","0","0","0","0","0","0","2,375,681","3,001,582","3,907,106","2,087,036"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","2,343,688","2,200,439","3,606,599","2,875,157"
,"売上総利益","0","0","0","0","0","0","0","0","4,870,538","5,312,303","7,190,267","5,941,763"
"6111","給与手当","0","0","0","0","0","0","0","0","682,766","704,600","509,300","426,300"
"6311","雑給","0","0","0","0","0","0","0","0","1,534,820","1,674,328","2,121,290","1,875,777"
"6112","旅費交通費","0","0","0","0","0","0","0","0","45,607","48,136","70,772","74,660"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","738,693","583,219","787,528","587,146"
"6114","販売促進費","0","0","0","0","0","0","0","0","45,898","36,269","101,403","34,769"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","12,500","0","0","13,000"
"6117","支払手数料","0","0","0","0","0","0","0","0","158,443","108,310","145,411","128,387"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","57,000","57,000","-106,000","57,000"
"6312","法定福利費","0","0","0","0","0","0","0","0","180,526","180,526","196,162","180,526"
"6226","厚生費","0","0","0","0","0","0","0","0","18,438","40,437","21,216","29,733"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","255,817","255,817","255,817","255,817"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","649,091","649,091","649,091","649,091"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","44,000","199,200","99,000","38,500"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","17,950","10,092","2,203","18,236"
"6219","水道光熱費","0","0","0","0","0","0","0","0","400,143","262,650","338,829","301,721"
"6221","租税公課","0","0","0","0","0","0","0","0","0","2,000","4,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","5,000","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","40,000","20,000","20,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","204,577","340,146","177,789","81,784"
"6227","管理諸費","0","0","0","0","0","0","0","0","158,966","117,262","153,847","125,839"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","5,210,235","5,309,083","5,547,658","4,898,286"
,"営業利益（損失）","0","0","0","0","0","0","0","0","-339,697","3,220","1,642,609","1,043,477"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
