"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","0","0","0","0","0","0","0","7,825,164","8,291,796","13,085,873","10,367,857","7,590,465"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","7,825,164","8,291,796","13,085,873","10,367,857","7,590,465"
"5111","期首棚卸高","0","0","0","0","0","0","0","1,252,156","1,297,371","1,235,301","1,496,859","902,112"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","1,297,371","1,235,301","1,496,859","902,112","895,747"
"5211","商品仕入高","0","0","0","0","0","0","0","2,865,370","3,320,856","5,186,803","3,590,464","2,967,622"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","2,820,155","3,382,926","4,925,245","4,185,211","2,973,987"
,"売上総利益","0","0","0","0","0","0","0","5,005,009","4,908,870","8,160,628","6,182,646","4,616,478"
"6111","給与手当","0","0","0","0","0","0","0","467,165","510,500","605,695","572,147","364,100"
"6311","雑給","0","0","0","0","0","0","0","1,546,722","1,498,804","2,077,969","1,771,097","1,676,153"
"6112","旅費交通費","0","0","0","0","0","0","0","45,626","49,388","54,099","42,780","23,789"
"6113","広告宣伝費","0","0","0","0","0","0","0","323,813","557,685","488,306","429,819","333,884"
