ｺｰﾄﾞ,勘定科目名,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,30年 12月累計
,売上総利益,"15,851,998","12,672,424","17,276,838","14,612,488","13,909,629","13,265,399","15,398,414","17,903,234","13,188,093","12,755,001","12,690,424","15,582,999","41,028,424"
6111,給与手当,"1,431,091","1,380,757","1,493,508","1,548,091","1,784,391","1,780,391","2,219,908","2,190,908","1,809,874","1,790,391","1,804,570","1,803,410","5,398,371"
6311,雑給,"4,041,398","3,266,678","4,002,694","3,217,853","2,903,450","2,799,638","3,047,639","3,584,114","3,246,694","3,511,663","3,257,650","3,422,708","10,192,021"
6112,旅費交通費,"161,778","154,845","188,209","161,530","158,954","138,028","149,067","169,942","147,404","127,852","122,839","127,618","378,309"
6113,広告宣伝費,"2,098,471","1,427,969","1,818,110","1,405,792","1,574,972","1,142,154","1,389,282","1,662,793","1,529,325","1,281,067","1,186,345","1,235,810","3,703,222"
6114,販売促進費,"108,681","97,368","107,442","84,043","39,690","56,877","64,941","76,270","52,743","92,778","107,600","166,567","366,945"
6115,荷造発送費,0,0,"1,400",0,"3,968","1,900","1,400","2,100","1,883",0,0,0,0
6116,外注費,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"793,561","602,917","966,319","725,131","683,155","707,923","726,605","884,720","720,337","635,560","661,824","776,279","2,073,663"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,0,0,0,0,0,0,0,"52,088","52,088"
6312,法定福利費,"274,505","274,093","274,093","333,040","330,233","306,374","385,058","390,672","340,146","340,146","340,146","409,338","1,089,630"
6226,厚生費,"259,837","375,037","441,911","479,259","397,667","380,941","309,495","290,410","321,343","415,827","204,251","136,192","756,270"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"494,389","494,389","494,389","494,389","494,389","494,389","494,389","494,389","524,332","453,895","453,895","453,895","1,361,685"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"549,740","549,740","549,740","549,740","549,740","549,740","549,740","549,740","549,740","549,740","549,740","549,740","1,649,220"
6216,修繕／車両関係費,"157,479","119,389","287,000","1,206,022","52,760","760,296","491,810","695,987","163,773","61,383","689,278","208,657","959,318"
6217,事務用消耗品費,"18,800","1,806",0,257,0,0,0,0,0,0,0,0,0
6218,通信交通費,"46,353","66,375","29,448","29,897","31,874","32,071","28,687","28,985","26,883","33,541","32,251","28,303","94,095"
6219,水道光熱費,"901,107","730,918","826,738","603,803","850,250","625,140","880,991","854,352","1,177,177","789,837","899,602","682,233","2,371,672"
6221,租税公課,"2,000",0,"4,000","2,000","2,000",0,"4,000",0,"4,000","4,000",0,"4,000","8,000"
6222,寄付金,0,0,0,0,0,"10,000","30,000","6,666",0,"13,000",0,"20,000","33,000"
6223,接待交際費,0,0,0,0,0,0,0,0,0,0,0,0,0
6224,保険料,"48,658","48,658","64,658","48,658","48,658","48,658","48,658","48,658","48,658","51,120","48,658","48,658","148,436"
6225,備品消耗品費,"565,401","603,184","493,532","716,257","409,219","524,711","778,929","964,779","975,172","829,997","497,725","842,928","2,170,650"
6227,管理諸費,"198,547","234,247","227,751","264,957","263,596","502,474","286,058","276,332","185,834","201,907","205,281","197,991","605,179"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,"14,000",0,"50,000",0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"12,151,796","10,428,370","12,270,942","11,870,719","10,592,966","10,861,705","11,936,657","13,171,817","11,825,318","11,183,704","11,061,655","11,166,415","33,411,774"
,営業利益（損失）,"3,700,202","2,244,054","5,005,896","2,741,769","3,316,663","2,403,694","3,461,757","4,731,417","1,362,775","1,571,297","1,628,769","4,416,584","7,616,650"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外収益計,0,0,0,0,0,0,0,0,0,0,0,0,0
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,-100,0,0,0,0,0,0,0,0
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,"200,000",0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,-100,0,0,0,"200,000",0,0,0,0
,経常利益（損失）,"3,700,202","2,244,054","5,005,896","2,741,769","3,316,763","2,403,694","3,461,757","4,731,417","1,162,775","1,571,297","1,628,769","4,416,584","7,616,650"
