"ｺｰﾄﾞ","勘定科目名"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"
"4111","売上高","0","0","0","0","0","0","0","0","8,266,345","8,381,268","14,892,225","12,503,218"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","89,893","91,815","130,224","124,615"
,"純売上高","0","0","0","0","0","0","0","0","8,176,452","8,289,453","14,762,001","12,378,603"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","1,234,776","1,155,029","957,052","1,884,374"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","1,155,029","957,052","1,884,374","1,089,095"
"5211","商品仕入高","0","0","0","0","0","0","0","0","1,769,126","1,555,827","2,654,353","2,163,774"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","1,848,873","1,753,804","1,727,031","2,959,053"
,"売上総利益","0","0","0","0","0","0","0","0","6,327,579","6,535,649","13,034,970","9,419,550"
"6111","給与手当","0","0","0","0","0","0","0","0","779,200","791,100","791,100","788,100"
"6311","雑給","0","0","0","0","0","0","0","0","1,224,165","1,450,835","1,991,225","1,834,872"
"6112","旅費交通費","0","0","0","0","0","0","0","0","59,672","66,094","74,952","71,553"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","138,445","172,160","197,200","187,831"
"6114","販売促進費","0","0","0","0","0","0","0","0","17,108","26,409","69,019","25,437"
"6115","荷造発送費","0","0","0","0","0","0","0","0","4,500","0","17,400","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","776,026","805,417","796,333","270,519"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","49,917","49,917","185,085","49,917"
"6312","法定福利費","0","0","0","0","0","0","0","0","178,762","178,762","243,135","215,226"
"6226","厚生費","0","0","0","0","0","0","0","0","34,930","112,493","104,500","68,760"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","292,685","292,685","300,985","292,685"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","1,385,100","1,385,100","1,385,100","1,385,100"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","138,000","21,600","15,600","144,900"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","48,219","44,928","23,199","56,805"
"6219","水道光熱費","0","0","0","0","0","0","0","0","858,892","715,745","511,999","546,797"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","2,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","120,000","60,000","60,000"
