"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","16,386,540","19,034,556","29,037,393","23,772,661","16,050,170","19,657,406","14,486,650","14,743,949","14,969,546","15,002,096","15,769,264"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","14,239","10,182"
,"純売上高","0","16,386,540","19,034,556","29,037,393","23,772,661","16,050,170","19,657,406","14,486,650","14,743,949","14,969,546","14,987,857","15,759,082"
"5111","期首棚卸高","0","11,525,391","10,403,227","12,882,336","15,096,541","12,031,494","10,351,158","8,465,364","12,912,699","13,898,420","12,987,286","17,204,792"
"5311","期末棚卸高        (△)","0","10,403,227","12,882,336","15,096,541","12,031,494","10,351,158","8,465,364","12,912,699","13,898,420","12,987,286","17,204,792","16,201,454"
"5211","商品仕入高","0","3,801,950","8,132,784","11,822,132","4,307,709","3,132,808","4,074,716","8,919,528","5,394,584","3,742,755","8,900,482","3,853,600"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","4,924,114","5,653,675","9,607,927","7,372,756","4,813,144","5,960,510","4,472,193","4,408,863","4,653,889","4,682,976","4,856,938"
,"売上総利益","0","11,462,426","13,380,881","19,429,466","16,399,905","11,237,026","13,696,896","10,014,457","10,335,086","10,315,657","10,304,881","10,902,144"
"6111","給与手当","0","1,466,833","1,417,249","1,416,300","1,350,000","1,378,252","1,350,000","1,320,000","1,357,891","1,320,500","1,282,133","1,330,500"
"6311","雑給","0","3,190,832","3,208,962","4,135,992","4,041,149","3,337,174","3,804,828","3,084,610","2,993,915","3,015,452","2,766,489","2,943,096"
"6112","旅費交通費","0","88,078","90,644","108,984","110,843","66,184","156,877","86,972","97,432","79,830","66,168","100,968"
"6113","広告宣伝費","0","916,744","1,211,171","1,195,825","1,254,096","1,222,732","1,023,282","671,940","721,425","970,942","867,700","641,925"
"6114","販売促進費","0","185,882","206,324","131,161","374,439","282,678","195,990","228,636","311,020","352,530","52,366","165,186"
"6115","荷造発送費","0","0","0","11,581","749","0","0","0","2,220","0","0","0"
"6116","外注費","0","0","36,000","42,000","6,000","0","15,834","5,000","29,000","32,500","19,500","8,500"
"6117","支払手数料","0","556,006","649,384","868,777","875,939","596,531","730,310","592,588","586,769","573,577","616,286","799,770"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","61,499","61,499","155,295","61,499","61,499","61,499","61,499","61,499","335,559","61,499","61,499"
"6312","法定福利費","0","426,214","426,214","487,196","444,126","407,661","407,661","420,761","420,761","521,932","421,941","423,394"
"6226","厚生費","0","18,127","57,539","37,975","11,733","124,342","60,870","108,732","159,164","261,205","7,187","162,787"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220","182,220"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000","2,500,000"
"6216","修繕／車両関係費","0","69,000","388,945","724,720","344,300","308,411","343,600","454,455","214,500","226,500","480,127","444,327"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","1,549","0","0","0"
"6218","通信交通費","0","15,308","15,243","15,342","15,355","15,428","15,510","11,435","11,471","19,126","15,269","11,385"
"6219","水道光熱費","0","608,463","586,965","528,692","739,340","658,621","665,453","635,760","726,752","600,657","738,113","832,924"
"6221","租税公課","0","6,000","6,000","14,000","8,000","6,000","8,000","6,000","4,000","6,000","4,000","6,000"
"6222","寄付金","0","0","0","0","0","0","0","10,000","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","20,000","0","0"
"6224","保険料","0","0","60,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","0","480,205","1,127,423","809,527","648,586","559,715","566,542","374,956","511,192","655,879","768,090","565,682"
"6227","管理諸費","0","366,250","451,104","371,219","389,435","422,016","361,743","413,281","504,000","460,051","438,442","348,804"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","7,300"
"6229","諸会費","0","0","24,000","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","2,000","0","0","0","0","0","0","2,000"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","11,137,661","12,706,886","13,766,806","13,389,809","12,159,464","12,480,219","11,198,845","11,426,780","12,164,460","11,317,530","11,568,267"
,"営業利益（損失）","0","324,765","673,995","5,662,660","3,010,096","-922,438","1,216,677","-1,184,388","-1,091,694","-1,848,803","-1,012,649","-666,123"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","7,108","3,817","3,817","4,929","7,025","3,859","4,554","4,510","5,859","3,637","5,610"
,"営業外収益計","0","7,108","3,817","3,817","4,929","7,025","3,859","4,554","4,510","5,859","3,637","5,610"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
