ｺｰﾄﾞ,勘定科目名, 4年  6月, 4年  7月, 4年  8月, 4年  9月, 4年 10月, 4年 11月, 4年 12月, 5年  1月, 5年  2月, 5年  3月, 5年  4月, 5年  5月, 5年  6月, 5年  7月
4111,売上高,"12,864","18,935",0,"39,003",0,0,0,0,0,0,0,0,0,0
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"12,864","18,935",0,"39,003",0,0,0,0,0,0,0,0,0,0
5111,期首棚卸高,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,0,0,0,"24,945",0,0,0,0,0,0,0,0,0,0
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),0,0,0,0,0,0,0,0,0,0,0,0,0,0
,当期売上原価,0,0,0,"24,945",0,0,0,0,0,0,0,0,0,0
,売上総利益,"12,864","18,935",0,"14,058",0,0,0,0,0,0,0,0,0,0
6111,給与手当,"766,670","566,670","453,336","453,336",0,0,0,0,0,0,0,0,0,0
6311,雑給,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,旅費交通費,0,91,0,"4,691",0,0,0,0,0,0,0,0,0,0
6113,広告宣伝費,"2,899","2,342","15,253","42,797",0,0,0,0,0,0,0,0,0,0
6114,販売促進費,"414,109","214,237","1,122,615","14,269",0,0,0,0,0,0,0,0,0,0
6115,荷造発送費,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,外注費,"1,036,364",0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"-2,856,399","-1,656,316","-2,225,595","-1,836,369",0,0,0,0,0,0,0,0,0,0
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6312,法定福利費,"340,648","377,132","377,132","377,132",0,0,0,0,0,0,0,0,0,0
6226,厚生費,"428,295","286,404","175,000","447,826",0,0,0,0,0,0,0,0,0,0
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"115,833","115,833","115,833","-584,163",0,0,0,0,0,0,0,0,0,0
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6216,修繕／車両関係費,0,"34,687",0,0,0,0,0,0,0,0,0,0,0,0
6217,事務用消耗品費,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218,通信交通費,"6,992","6,992","6,992","385,427",0,0,0,0,0,0,0,0,0,0
6219,水道光熱費,"3,639","7,466","18,635","10,168",0,0,0,0,0,0,0,0,0,0
6221,租税公課,0,"11,200",0,0,0,0,0,0,0,0,0,0,0,0
6222,寄付金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6223,接待交際費,0,0,0,"13,291",0,0,0,0,0,0,0,0,0,0
6224,保険料,"5,000","24,730","5,000","5,000",0,0,0,0,0,0,0,0,0,0
6225,備品消耗品費,100,"42,091","40,964","15,069",0,0,0,0,0,0,0,0,0,0
6227,管理諸費,0,0,0,"16,536",0,0,0,0,0,0,0,0,0,0
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,本社　指導料,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"264,150","33,559","105,165","-634,990",0,0,0,0,0,0,0,0,0,0
,営業利益（損失）,"-251,286","-14,624","-105,165","649,048",0,0,0,0,0,0,0,0,0,0
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,"3,379,337",0,0,0,0,0,0,0,0,0,0
,営業外収益計,0,0,0,"3,379,337",0,0,0,0,0,0,0,0,0,0
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,-465,0,0,0,0,0,0,0,0,0,0,0
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,"700,000",0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,-465,"700,000",0,0,0,0,0,0,0,0,0,0
,経常利益（損失）,"-251,286","-14,624","-104,700","3,328,385",0,0,0,0,0,0,0,0,0,0
