ｺｰﾄﾞ,勘定科目名, 3年 10月
4111,売上高,"5,881,329"
4112,会員券売上高,"437,730"
4113,ゴルフ用品・雑貨売上高,"70,285"
4114,手数料収入,"641,986"
4115,ポイント値引・入会金返金(△),"1,050,900"
,純売上高,"5,980,430"
5111,期首棚卸高,0
5211,商品仕入高,"32,053"
5212,,0
5215,,0
5216,,0
5213,仕入値引戻し高    (△),0
5273,他勘定振替高      (△),0
5311,期末棚卸高        (△),0
,当期売上原価,"32,053"
,売上総利益,"5,948,377"
6111,プロ報酬,0
6311,雑給,"761,255"
6112,旅費交通費,"48,194"
6113,広告宣伝費,"113,600"
6114,教育訓練費,0
6115,接客サービス費,"510,870"
6116,コンペ参加諸費,"7,273"
6117,プレイ器具費,"5,000"
6118,,0
6211,役員報酬,"283,500"
6232,,0
6212,社員給与,"1,132,727"
6213,従業員賞与,"99,000"
6312,法定福利費,"292,210"
6226,厚生費,"17,769"
6119,退職手当等,0
6214,減価償却費,"130,000"
6234,,0
6215,地代家賃・リース料,"677,306"
6216,修繕費,"391,800"
6217,事務用消耗品費,"32,155"
6218,通信交通費,"22,972"
6219,水道光熱費,"136,868"
6221,租税公課,0
6222,会議費,0
6223,接待交際費,0
6224,保険料,0
6225,備品消耗品費,"22,453"
6227,管理諸費,"73,300"
6228,寄附金,0
6229,その他の一般管理費,"15,500"
6313,,0
6233,,0
6314,貸倒償却,0
6231,雑費,"55,581"
,販売費及び一般管理費計,"4,829,333"
,営業利益（損失）,"1,119,044"
7111,受取利息,0
7112,受入家賃,0
7113,,0
7114,受取配当金,0
7118,雑収入,0
,営業外収益計,0
7511,支払利息割引料,0
7518,手形売却損,0
7512,,0
7513,,0
7514,,0
7515,繰延資産償却,0
7519,雑損失,0
,営業外費用計,0
,経常利益（損失）,"1,119,044"
