ｺｰﾄﾞ,勘定科目名, 3年 11月, 3年 12月, 4年  1月, 4年  2月, 4年  3月, 4年  4月, 4年  5月, 4年  6月, 4年  7月, 4年  8月, 4年  9月
4111,売上高,"12,747,722","20,847,021","14,257,358","7,901,439","11,340,697","9,516,625","12,063,039","11,128,215","11,810,398","11,021,378","10,815,357"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0
,純売上高,"12,747,722","20,847,021","14,257,358","7,901,439","11,340,697","9,516,625","12,063,039","11,128,215","11,810,398","11,021,378","10,815,357"
5111,期首棚卸高,"8,884,986","7,487,709","10,716,547","11,283,050","10,416,619","9,476,212","8,442,507","6,511,073","5,729,703","5,326,555","8,532,293"
5211,商品仕入高,"2,847,939","11,615,150","5,526,627","2,109,936","3,146,127","2,429,797","2,432,579","3,052,027","3,850,841","7,384,240","4,921,126"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),"7,487,709","10,716,547","11,283,050","10,416,619","9,476,212","8,442,507","6,511,073","5,729,703","5,326,555","8,532,293","9,761,943"
,当期売上原価,"4,245,216","8,386,312","4,960,124","2,976,367","4,086,534","3,463,502","4,364,013","3,833,397","4,253,989","4,178,502","3,691,476"
,売上総利益,"8,502,506","12,460,709","9,297,234","4,925,072","7,254,163","6,053,123","7,699,026","7,294,818","7,556,409","6,842,876","7,123,881"
6111,給与手当,"1,525,400","1,555,400","1,314,400","1,750,331","1,494,400","1,310,400","1,430,400","1,767,400","1,038,000","1,252,500","1,172,500"
6311,雑給,"1,767,571","2,549,133","2,405,980","1,579,545","1,842,923","1,839,759","2,082,966","1,991,655","2,040,754","1,921,378","1,670,943"
6112,旅費交通費,"120,321","102,855","117,804","79,882","100,291","99,591","121,389","111,170","98,282","82,471","86,962"
6113,広告宣伝費,"557,890","739,937","567,662","468,456","762,306","445,363","915,105","702,322","824,363","598,260","630,981"
6114,販売促進費,"180,289","109,983","243,419","57,469","248,975","259,519","225,850","146,441","217,430","153,879","295,667"
6115,荷造発送費,0,0,0,"2,200","2,200","4,400","5,200","4,400","6,600","3,700",0
6116,外注費,0,0,0,"1,387",0,0,0,0,0,"3,627",0
6117,支払手数料,"336,902","492,387","480,101","319,368","331,859","382,730","658,197","374,673","387,921","377,753","496,360"
6118,,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,"60,000",0,0,0,0,"445,450","90,500","90,500","90,500","90,500"
6312,法定福利費,"394,946","410,006","364,124","364,124","356,733","356,405","490,071","526,042","400,057","377,470","375,821"
6226,厚生費,"32,000","5,000","90,919","5,000","76,450","7,800","44,966","59,751","77,518","111,666","53,278"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"182,424","182,424","182,424","182,424","182,424","182,424","182,424","182,424","182,424","182,424","182,424"
6234,,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000"
6216,修繕／車両関係費,0,0,0,"16,000",0,0,"23,000","56,000","52,200","136,661","233,942"
6217,事務用消耗品費,800,"7,559","25,490","7,732",0,"3,933","3,936","15,400","3,300",818,0
6218,通信交通費,"8,157","14,524","13,939","26,953","8,162","11,122","23,424","26,656","15,600","14,510","8,224"
6219,水道光熱費,"457,295","335,722","548,161","397,377","481,621","431,867","485,307","399,230","597,103","629,845","820,342"
6221,租税公課,"4,000","5,000",0,0,"4,000",0,"2,000","5,000",0,"5,000",0
6222,寄付金,0,0,0,0,0,0,0,0,0,0,0
6223,接待交際費,0,0,"6,163",0,0,0,0,"3,809","4,545",0,"5,000"
6224,保険料,"38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","38,891","31,879"
6225,備品消耗品費,"547,115","795,028","475,333","476,350","419,901","375,959","691,462","766,995","619,817","875,154","485,531"
6227,管理諸費,"281,497","255,859","267,309","241,793","276,776","241,358","282,917","266,132","271,656","294,164","246,347"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,"21,000",0,"1,000","7,000",0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"6,985,498","8,209,708","7,713,119","6,565,282","7,178,912","6,548,521","8,702,955","8,084,891","7,516,961","7,700,671","7,436,701"
,営業利益（損失）,"1,517,008","4,251,001","1,584,115","-1,640,210","75,251","-495,398","-1,003,929","-790,073","39,448","-857,795","-312,820"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,"14,857","17,661","14,489","9,905","12,635","14,649","16,958","15,522","14,677","19,200"
,営業外収益計,0,"14,857","17,661","14,489","9,905","12,635","14,649","16,958","15,522","14,677","19,200"
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,0,-19,19,0,18,0,0
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,0,-19,19,0,18,0,0
,経常利益（損失）,"1,517,008","4,265,858","1,601,776","-1,625,721","85,156","-482,744","-989,299","-773,115","54,952","-843,118","-293,620"
