ｺｰﾄﾞ,勘定科目名,29年 11月,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 10月累計
4111,授業料等収入,"231,481","231,481","300,981","307,481","307,481","384,564","122,518","86,185","7,500","1,186,630","28,306,181","1,088,552","30,675,048"
4112,寮費等収入,0,0,0,0,0,0,0,0,0,0,"2,775,000","200,000","2,975,000"
4113,売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,民泊売上高,"60,000","26,389","80,741","56,969","102,130","63,055","64,537","18,518",0,0,0,0,"18,518"
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"291,481","257,870","381,722","364,450","409,611","447,619","187,055","104,703","7,500","1,186,630","31,081,181","1,288,552","33,668,566"
5111,期首たな卸高,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5212,教材費等,"13,200",0,0,0,"6,000",0,0,"4,000",0,"4,000",0,"1,806,481","1,814,481"
5215,紹介手数料,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,当期売上原価,"13,200",0,0,0,"6,000",0,0,"4,000",0,"4,000",0,"1,806,481","1,814,481"
,売上総利益,"278,281","257,870","381,722","364,450","403,611","447,619","187,055","100,703","7,500","1,182,630","31,081,181","-517,929","31,854,085"
6111,給与手当,"856,000","841,000","849,000","843,000","843,000","969,303","1,108,935","1,139,161","867,000","892,624","1,085,100","1,374,962","5,358,847"
6311,雑給,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,旅費交通費,"90,355","59,661","94,913","343,655","383,425","129,124","208,835","86,481","226,603","81,444","24,755","473,795","893,078"
6113,広告宣伝費,"9,800","9,800","21,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","70,300","10,300","111,500"
6114,販売促進費,0,0,0,0,0,0,0,0,0,0,0,0,0
6115,発送配達費,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"39,065","33,251","36,657","27,316","70,890","45,802","38,450","44,655","30,578","51,228","37,000","65,766","229,227"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","2,500,000"
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,0,0,0,0,0,0,0,0,0
6312,法定福利費,"184,446","184,446","184,446",0,"368,892","183,978","374,989","374,989","162,967","196,822",0,"428,024","1,162,802"
6226,厚生費,0,0,0,"7,290","3,080","5,910",0,0,"6,440","18,401",0,"5,910","30,751"
