"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"4111","売上高","0","0","0","0","11,633,230","11,211,758","13,165,133","14,267,077","10,979,214","14,516,281","10,834,558","12,206,117"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","11,633,230","11,211,758","13,165,133","14,267,077","10,979,214","14,516,281","10,834,558","12,206,117"
"5111","期首棚卸高","0","0","0","0","711,700","771,700","755,500","876,900","685,500","554,600","556,491","735,002"
"5311","期末棚卸高        (△)","0","0","0","0","771,700","755,500","876,900","685,500","554,600","556,491","735,002","779,371"
"5211","商品仕入高","0","0","0","0","4,939,341","4,763,291","5,833,374","5,643,467","4,710,769","6,370,533","4,713,001","5,231,755"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","4,879,341","4,779,491","5,711,974","5,834,867","4,841,669","6,368,642","4,534,490","5,187,386"
,"売上総利益","0","0","0","0","6,753,889","6,432,267","7,453,159","8,432,210","6,137,545","8,147,639","6,300,068","7,018,731"
"6111","給与手当","0","0","0","0","783,400","788,600","788,600","778,600","728,600","688,600","499,239","318,500"
"6311","雑給","0","0","0","0","1,659,798","1,765,110","1,985,288","1,984,201","1,719,298","2,013,214","1,768,670","1,824,987"
"6112","旅費交通費","0","0","0","0","45,860","47,283","50,961","45,507","39,568","46,415","40,353","40,339"
"6113","広告宣伝費","0","0","0","0","42,968","28,572","77,156","77,056","18,410","79,761","36,729","68,080"
"6114","販売促進費","0","0","0","0","0","3,671","7,483","2,360","114,471","0","2,825","0"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","40,200","36,000","60,000","60,400","40,000","44,000","4,000","5,500"
