"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","9,211,407","9,062,532","10,103,271","8,380,582","8,769,443","9,990,725","9,090,740","9,226,272","9,162,716","9,512,403"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","27,514"
,"純売上高","0","0","9,211,407","9,062,532","10,103,271","8,380,582","8,769,443","9,990,725","9,090,740","9,226,272","9,162,716","9,484,889"
"5111","期首棚卸高","0","0","810,765","784,864","819,874","1,239,525","814,372","736,554","729,904","786,857","820,752","656,614"
"5311","期末棚卸高        (△)","0","0","784,864","819,874","1,239,525","814,372","736,554","729,904","786,857","820,752","656,614","722,089"
"5211","商品仕入高","0","0","3,458,801","3,529,527","4,120,930","2,991,071","3,293,295","3,784,222","3,749,412","3,497,801","3,485,445","3,844,627"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","3,484,702","3,494,517","3,701,279","3,416,224","3,371,113","3,790,872","3,692,459","3,463,906","3,649,583","3,779,152"
,"売上総利益","0","0","5,726,705","5,568,015","6,401,992","4,964,358","5,398,330","6,199,853","5,398,281","5,762,366","5,513,133","5,705,737"
"6111","給与手当","0","0","781,405","661,277","489,199","430,971","418,914","453,028","477,142","787,322","782,974","1,060,148"
"6311","雑給","0","0","1,065,793","992,405","1,035,361","947,827","979,132","1,030,952","1,094,812","1,149,212","1,223,639","983,447"
"6112","旅費交通費","0","0","107,254","111,709","43,946","114,037","87,727","94,754","90,923","87,675","95,027","26,414"
"6113","広告宣伝費","0","0","51,638","0","25,502","0","1,818","909","45,418","18,566","4,091","3,012"
"6114","販売促進費","0","0","0","1,319","4,162","1,180","0","0","1,671","0","7,147","0"
"6115","荷造発送費","0","0","0","0","0","0","0","764","0","0","0","0"
"6116","外注費","0","0","97,149","228,842","313,855","251,312","201,553","344,337","270,553","290,333","206,635","16,617"
"6117","支払手数料","0","0","397,571","559,830","517,569","489,842","467,835","551,574","557,886","705,420","343,273","274,679"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","58,666","58,666","627,904","58,666","58,666","58,666","58,666","58,666","172,457","58,666"
"6312","法定福利費","0","0","198,223","198,223","257,366","153,418","153,418","133,405","133,379","164,569","266,016","195,547"
"6226","厚生費","0","0","17,000","14,188","32,634","11,733","11,733","14,188","2,187","31,058","34,531","14,187"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","252,283","252,283","252,283","252,283","252,283","252,283","252,283","252,283","252,283","252,283"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","788,526","858,626","952,294","797,252","832,248","943,346","857,160","720,873","867,644","895,934"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","18,109","28,000","5,768"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","9,437","0","0","0","0","0","0","0","0"
"6219","水道光熱費","0","0","277,973","292,974","202,658","223,570","311,812","295,421","298,048","305,430","346,783","428,769"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
