"ｺｰﾄﾞ","勘定科目名"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"
"4111","売上高","0","0","0","0","0","0","0","0","0","0","18,320,314","17,079,143"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","0","18,320,314","17,079,143"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","2,196,810","1,911,228"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","1,911,228","1,781,127"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","8,154,588","8,251,328"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","8,440,170","8,381,429"
,"売上総利益","0","0","0","0","0","0","0","0","0","0","9,880,144","8,697,714"
"6111","給与手当","0","0","0","0","0","0","0","0","0","0","1,351,485","997,697"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","3,153,493","3,249,912"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","0","56,863","56,351"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","984,149","803,619"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","73,580","69,124"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","737","736"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","0","683,106","663,809"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","66,333","66,333"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","0","429,944","336,879"
"6226","厚生費","0","0","0","0","0","0","0","0","0","0","127,957","23,917"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","59,392","59,392"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","2,207,727","2,207,727"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","352,600","111,700"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","5,789","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","15,466","16,251"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","0","924,163","552,790"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","2,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","120,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","0","507,556","512,907"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","0","269,241","266,608"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","60,000","16,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","3,800","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","0","11,335,381","10,132,552"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","0","-1,455,237","-1,434,838"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","200,909","207,727"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","200,909","207,727"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","0","-1,254,328","-1,227,111"
