"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","売上高","0","0","0","0","0","0","9,269,784","9,920,772","12,240,618","9,708,347","7,847,226","9,895,605"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","9,269,784","9,920,772","12,240,618","9,708,347","7,847,226","9,895,605"
"5111","期首棚卸高","0","0","0","0","0","0","1,010,363","1,061,512","1,094,829","1,519,291","1,064,245","1,161,866"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","1,061,512","1,094,829","1,519,291","1,064,245","1,161,866","1,057,448"
"5211","商品仕入高","0","0","0","0","0","0","3,229,458","3,464,247","4,333,385","3,167,365","2,735,862","3,225,090"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","3,178,309","3,430,930","3,908,923","3,622,411","2,638,241","3,329,508"
,"売上総利益","0","0","0","0","0","0","6,091,475","6,489,842","8,331,695","6,085,936","5,208,985","6,566,097"
"6111","給与手当","0","0","0","0","0","0","1,478,325","1,394,625","1,448,557","1,398,858","1,421,253","1,448,557"
"6311","雑給","0","0","0","0","0","0","1,225,255","1,234,138","1,423,827","1,145,096","948,981","1,032,912"
"6112","旅費交通費","0","0","0","0","0","0","46,424","40,328","45,676","34,097","25,402","39,959"
"6113","広告宣伝費","0","0","0","0","0","0","174,697","241,585","339,335","313,930","179,848","242,680"
"6114","販売促進費","0","0","0","0","0","0","18,114","29,155","23,863","18,449","18,214","19,949"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","40,191"
"6117","支払手数料","0","0","0","0","0","0","162,674","161,477","151,296","169,821","197,709","186,533"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","63,416","63,416","1,368,303","63,416","63,416","63,416"
"6312","法定福利費","0","0","0","0","0","0","294,703","294,703","511,693","294,703","269,458","269,458"
"6226","厚生費","0","0","0","0","0","0","18,938","44,437","12,188","53,466","58,466","157,229"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","56,321","56,321","56,321","56,321","56,321","56,321"
