"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","7,214,226","7,512,742","10,796,866","8,816,920","6,804,555","8,976,726","7,290,222","7,630,946","7,529,801","8,305,467","9,537,100"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","40,232","38,027"
,"純売上高","0","7,214,226","7,512,742","10,796,866","8,816,920","6,804,555","8,976,726","7,290,222","7,630,946","7,529,801","8,265,235","9,499,073"
"5111","期首棚卸高","0","1,558,059","1,590,052","2,391,195","2,691,702","1,903,581","1,791,045","1,854,343","2,432,647","2,614,185","2,804,652","3,144,638"
"5311","期末棚卸高        (△)","0","1,590,052","2,391,195","2,691,702","1,903,581","1,791,045","1,854,343","2,432,647","2,614,185","2,804,652","3,144,638","3,373,740"
"5211","商品仕入高","0","2,375,681","3,001,582","3,907,106","2,087,036","2,109,749","2,865,847","2,821,075","2,631,455","2,417,466","3,001,404","3,418,500"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","2,343,688","2,200,439","3,606,599","2,875,157","2,222,285","2,802,549","2,242,771","2,449,917","2,226,999","2,661,418","3,189,398"
,"売上総利益","0","4,870,538","5,312,303","7,190,267","5,941,763","4,582,270","6,174,177","5,047,451","5,181,029","5,302,802","5,603,817","6,309,675"
"6111","給与手当","0","682,766","704,600","509,300","426,300","435,600","340,600","375,600","376,200","366,700","362,700","396,700"
