"ｺｰﾄﾞ","勘定科目名"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"
"4111","売上高","0","0","0","10,887,125","11,361,769","17,680,305","13,325,056","10,632,645","14,856,230","9,278,947","10,617,999","10,665,399"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","10,887,125","11,361,769","17,680,305","13,325,056","10,632,645","14,856,230","9,278,947","10,617,999","10,665,399"
"5111","期首棚卸高","0","0","0","832,400","949,611","1,037,173","1,825,835","1,006,238","937,198","838,565","1,029,293","1,070,337"
"5311","期末棚卸高        (△)","0","0","0","949,611","1,037,173","1,825,835","1,006,238","937,198","838,565","1,029,293","1,070,337","724,310"
"5211","商品仕入高","0","0","0","4,449,226","4,863,171","7,687,856","4,631,705","4,265,933","5,572,489","4,049,110","4,876,614","3,805,927"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","4,332,015","4,775,609","6,899,194","5,451,302","4,334,973","5,671,122","3,858,382","4,835,570","4,151,954"
,"売上総利益","0","0","0","6,555,110","6,586,160","10,781,111","7,873,754","6,297,672","9,185,108","5,420,565","5,782,429","6,513,445"
"6111","給与手当","0","0","0","1,017,096","739,334","870,430","684,122","627,600","667,644","1,180,925","1,082,700","859,300"
"6311","雑給","0","0","0","1,420,051","1,723,032","2,732,565","2,134,752","1,746,889","2,160,240","1,602,764","1,529,813","1,539,859"
"6112","旅費交通費","0","0","0","84,573","67,568","97,432","52,362","53,746","51,131","56,216","50,395","47,440"
"6113","広告宣伝費","0","0","0","416,324","673,324","448,541","632,711","505,979","509,881","386,937","577,102","538,625"
"6114","販売促進費","0","0","0","28,967","44,861","53,428","33,695","35,551","33,090","37,442","35,691","54,502"
"6115","荷造発送費","0","0","0","0","0","0","1,636","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","304,376","304,662","349,296","368,376","402,614","353,302","364,905","388,350","319,397"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","55,000","55,000","6,030","55,000","55,000","55,000","55,000","55,000","25,810"
"6312","法定福利費","0","0","0","181,522","134,273","168,353","134,273","165,128","165,128","165,603","196,568","233,022"
"6226","厚生費","0","0","0","112,606","137,375","-85,479","11,733","95,733","60,950","12,166","18,473","14,516"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","114,140","114,140","114,140","114,140","114,140","114,140","114,140","114,140","114,140"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","463,740","463,740","463,740","463,740","463,740","429,768","463,740","463,740","463,740"
"6216","修繕／車両関係費","0","0","0","281,355","168,300","29,200","1,139,400","18,000","77,600","154,000","90,500","190,150"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","2,703","2,703","2,703","2,703","2,703","2,703","500","500","500"
"6219","水道光熱費","0","0","0","527,529","461,237","414,225","427,390","429,062","402,019","447,454","361,294","374,548"
"6221","租税公課","0","0","0","2,000","2,000","6,000","2,000","0","6,000","2,000","0","4,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","0","228,874","418,737","438,076","162,748","175,849","241,074","516,425","302,937","230,229"
"6227","管理諸費","0","0","0","33,180","24,680","24,680","28,216","42,619","61,617","34,939","23,880","32,971"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","16,800","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","21,963","1,287","4,235","0","0","60,000","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","5,274,036","5,601,766","6,180,323","6,475,284","4,963,588","5,416,287","5,620,156","5,376,083","5,067,749"
,"営業利益（損失）","0","0","0","1,281,074","984,394","4,600,788","1,398,470","1,334,084","3,768,821","-199,591","406,346","1,445,696"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","2","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","2","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","1,281,072","984,394","4,600,788","1,398,470","1,334,084","3,768,821","-199,591","406,346","1,445,696"
