ｺｰﾄﾞ,勘定科目名,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,30年 12月累計
4111,売上高,"12,505,531","5,949,178","12,405,548","9,605,721","9,639,942","10,138,373","9,533,513","12,152,661","10,260,650","9,163,078","9,431,000","15,700,892","34,294,970"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),"96,104","62,122","68,694","63,714","82,380","71,891","67,101","82,083","104,030","73,119","93,942","127,477","294,538"
,純売上高,"12,409,427","5,887,056","12,336,854","9,542,007","9,557,562","10,066,482","9,466,412","12,070,578","10,156,620","9,089,959","9,337,058","15,573,415","34,000,432"
5111,期首たな卸高,"1,048,796","592,224","715,326","843,593","732,298","692,138","702,546","643,996","599,661","511,086","582,431","492,356","511,086"
5211,商品仕入高,"858,726","696,258","1,508,123","857,584","974,871","1,119,225","1,000,835","1,238,777","1,019,874","1,154,392","1,027,383","2,007,620","4,189,395"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),"592,224","715,326","843,593","732,298","692,138","702,546","643,996","599,661","511,086","582,431","492,356","770,971","770,971"
,当期売上原価,"1,315,298","573,156","1,379,856","968,879","1,015,031","1,108,817","1,059,385","1,283,112","1,108,449","1,083,047","1,117,458","1,729,005","3,929,510"
,売上総利益,"11,094,129","5,313,900","10,956,998","8,573,128","8,542,531","8,957,665","8,407,027","10,787,466","9,048,171","8,006,912","8,219,600","13,844,410","30,070,922"
6111,給与手当,"775,045","725,780","788,960","838,610","883,235","899,735","884,235","862,013","738,290","1,090,629","968,220","1,003,360","3,062,209"
6311,雑給,"1,032,264","604,290","846,295","817,230","874,773","893,622","909,835","1,033,662","967,488","999,132","877,596","1,283,308","3,160,036"
6112,旅費交通費,"61,148","46,193","51,111","68,345","81,211","87,473","79,574","94,638","89,339","82,927","64,466","78,902","226,295"
6113,広告宣伝費,"204,874","188,579","227,697","216,077","419,910","292,619","282,570","365,209","267,163","204,110","222,987","300,635","727,732"
6114,販売促進費,"144,416","101,611","161,531","129,484","182,312","125,110","88,625","128,005","97,115","105,547","99,332","53,994","258,873"
6115,荷造発送費,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,外注費,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"482,316","434,190","438,982","489,664","444,278","442,753","443,838","451,777","440,195","446,009","446,654","435,752","1,328,415"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,"50,000","50,000","50,000","50,000","50,000","-80,000","50,000","50,000","50,000",0,0,"31,345","31,345"
6312,法定福利費,"141,286","110,129","110,129","110,129","63,392","149,427","135,392","135,392","141,006","171,883","135,392","143,665","450,940"
6226,厚生費,0,"10,866","61,447","69,985","2,250","37,185",0,"51,153","170,436","49,933","63,279","41,100","154,312"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"198,890","198,890","198,890","198,890","198,890","198,890","198,890","198,890","363,639","165,457","165,457","165,457","496,371"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"701,000","701,000","701,000","701,000","701,000","701,000","701,000","701,000","701,000","701,000","701,000","701,000","2,103,000"
6216,修繕／車両関係費,0,"27,000",0,"43,000",0,"93,504",0,"98,000","3,500","49,700","157,407","163,807","370,914"
6217,事務用消耗品費,"15,544","11,745","5,486","21,217","24,302","18,891","13,569","11,584","13,736","21,136","20,232","16,913","58,281"
6218,通信交通費,"75,899","38,387","3,300","35,677","73,448","3,383","72,006","38,530","2,844","79,634","19,293","3,319","102,246"
6219,水道光熱費,"481,417","489,476","394,286","407,012","391,807","449,021","447,074","572,193","619,244","532,159","447,597","407,051","1,386,807"
6221,租税公課,"2,000",0,"1,785",0,"2,000",0,0,"2,000",0,0,"2,000","2,000","4,000"
6222,寄付金,0,0,0,0,0,0,"10,000",0,0,0,0,0,0
6223,接待交際費,0,0,0,0,0,0,0,0,0,0,0,0,0
6224,保険料,"54,060","54,060","54,060","54,060","54,060","54,060","54,060","54,060","54,060","56,521","54,060","54,060","164,641"
6225,備品消耗品費,"102,747","520,419","761,012","130,638","165,713","189,119","480,555","133,164","569,858","243,344","152,488","90,288","486,120"
6227,管理諸費,"167,388","156,333","163,660","136,704","128,482","117,633","135,763","146,922","164,634","112,284","114,144","106,868","333,296"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,0,500,0,0,0,0,"3,000",0,"3,000"
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,"-10,005",0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,"4,690,294","4,458,943","5,019,631","4,517,722","4,741,063","4,673,925","4,986,986","5,128,192","5,453,547","5,111,405","4,714,604","5,082,824","14,908,833"
