コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月
500,売上高,1592037,1697013,1634306,1259017,894764,1121252,919410,859952,949302,918146,916354,283000,198500,198500,237000,213000,0,0,0,0,0,0,0,0
501,売上高Ⅱ,3410000,3410000,3422000,3470000,3470000,3416000,3410000,3410000,3340000,3410000,3410000,3410000,3710000,3710000,3710000,3692581,0,0,0,0,0,0,0,0
502,売上高(保育),41597924,41433082,41466286,42316347,43185092,41170421,41872726,41491152,41188084,41819848,41415878,45437072,40301449,40984705,40732654,42621419,0,0,0,0,0,0,0,0
503,売上高(飲食),0,0,0,0,0,0,0,0,0,0,0,0,4788940,4736700,5087760,4703210,0,0,0,0,0,0,0,0
510,家賃収入,1753000,1753000,1753000,1801000,1655000,1655000,1655000,1655000,1655000,1655000,1655000,1655000,1845000,1845000,1835000,1755000,0,0,0,0,0,0,0,0
511,駐車場収入,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,26000,0,0,0,0,0,0,0,0,0
,純売上高,48365961,48306095,48288592,48859364,49217856,47375673,47870136,47429104,47145386,47815994,47410232,50798072,50856889,51487905,51628414,52985210,0,0,0,0,0,0,0,0
,当期製品製造原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,期首材料棚卸高,258312,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,0,0,0,0,0,0,0,0
623,原材料仕入,1358418,1188896,1397956,1338234,1234797,1271486,1400268,1416703,1388884,1314063,1130981,1361848,1340473,1259125,1545915,1475978,0,0,0,0,0,0,0,0
635,期末材料棚卸高,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,0,0,0,0,0,0,0,0
,売上原価,1389789,1183422,1399774,1347621,1195953,1295147,1401526,1417837,1416980,1245798,1109951,1399107,1342636,1257218,1526645,1470497,0,0,0,0,0,0,0,0
,売上総利益,46976172,47122673,46888818,47511743,48021903,46080526,46468610,46011267,45728406,46570196,46300281,49398965,49514253,50230687,50101769,51515013,0,0,0,0,0,0,0,0
740,役員報酬,2850000,2850000,2850000,2850000,2850000,2850000,2850000,2850000,2850000,2850000,2850000,2850000,0,0,0,0,0,0,0,0,0,0,0,0
741,給料,22090229,21096168,22075171,21183753,20799118,20470807,20987065,20797877,21060372,20524433,21081672,22538233,25873587,25103639,24556774,23457781,0,0,0,0,0,0,0,0
742,賞与,2296600,2296600,2119600,2119600,2119600,2119600,2119600,2119600,2119600,2119600,2119600,2119600,2119600,2119600,2366000,2366000,0,0,0,0,0,0,0,0
743,退職給与,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122000000,0,0,0,0,0,0,0,0,0
744,法定福利費,2946666,2712427,4725575,2726707,2749524,2789904,2818349,2872621,5206084,2853907,2923164,2887572,2838241,2820675,4916033,2877857,0,0,0,0,0,0,0,0
745,外注給与,780042,983780,1230045,1384263,1381830,1283253,1350806,1677429,1948417,1523837,1397209,1737655,192051,476499,874714,895482,0,0,0,0,0,0,0,0
750,福利厚生費,511206,435791,356763,375376,75298,118328,321536,664752,153992,198763,171708,356794,257678,432335,618327,234893,0,0,0,0,0,0,0,0
751,会議費,1994,2286,2342,157,107,995,898,589,2663,0,2050,1420,614,27835,6354,3110,0,0,0,0,0,0,0,0
752,工具器具備品,671240,328679,269635,258575,196138,577965,903674,195815,274458,336777,173745,990527,174935,193735,326833,496478,0,0,0,0,0,0,0,0
753,消耗品費,103158,106195,116399,124751,153066,108664,126905,62488,184155,102410,111133,87243,121477,104373,134755,122285,0,0,0,0,0,0,0,0
754,事務用品費,81081,46739,29697,28609,64942,46212,44133,54892,44689,97322,52235,63621,61674,65365,59328,36014,0,0,0,0,0,0,0,0
756,通勤費,208538,211380,244187,231117,227779,239091,243184,241896,247339,243397,249491,297208,281973,270181,293024,259835,0,0,0,0,0,0,0,0
757,旅費交通費,52819,73884,61125,50948,65907,59834,57977,54083,47020,60565,67803,48376,39016,88437,85315,86206,0,0,0,0,0,0,0,0
758,採用費,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,310000,1274998,0,0,0,0,0,0,0,0
759,運賃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,0,0,0,0,0,0,0,0,0
761,通信費,106457,109981,110558,101511,115263,105921,104308,122585,118914,120313,103190,116824,109279,124854,107215,95460,0,0,0,0,0,0,0,0
762,水道光熱費,510486,363926,482984,421366,604528,474237,625053,401326,527369,440826,609441,553533,580352,465753,512801,525179,0,0,0,0,0,0,0,0
765,教育研修費,194545,182727,192091,180000,180000,180000,194544,180000,180000,180000,9526,0,13591,0,25363,0,0,0,0,0,0,0,0,0
766,保険料,-8176018,1623034,1031857,1044497,1031289,1731952,21625157,3896887,1033549,1363009,12860519,1437277,1061205,1592024,-7813259,758053,0,0,0,0,0,0,0,0
768,減価償却費,1819387,1819387,1819389,1557563,1557563,1557563,1557563,1567563,1567563,1567563,1567563,1567566,1547210,1547210,1630168,1630168,0,0,0,0,0,0,0,0
769,家賃,4131897,4178897,4218897,4218897,4050147,4065297,4065297,4065297,4065297,4133039,4044297,3451897,4293767,4243767,4243767,4243767,0,0,0,0,0,0,0,0
