"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","0","0","0","0","0","0","0","8,081,389","8,081,991","11,150,398","7,537,943","6,919,752"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","8,081,389","8,081,991","11,150,398","7,537,943","6,919,752"
"5111","期首棚卸高","0","0","0","0","0","0","0","1,284,756","1,174,263","1,288,526","1,763,044","1,467,791"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","1,174,263","1,288,526","1,763,044","1,467,791","1,289,193"
"5211","商品仕入高","0","0","0","0","0","0","0","2,937,716","3,119,830","3,990,800","2,530,787","2,565,050"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","3,048,209","3,005,567","3,516,282","2,826,040","2,743,648"
,"売上総利益","0","0","0","0","0","0","0","5,033,180","5,076,424","7,634,116","4,711,903","4,176,104"
"6111","給与手当","0","0","0","0","0","0","0","1,303,182","1,189,628","1,250,639","1,109,500","1,158,944"
"6311","雑給","0","0","0","0","0","0","0","1,007,981","1,026,818","1,043,896","1,043,527","1,039,430"
"6112","旅費交通費","0","0","0","0","0","0","0","57,701","55,753","52,687","92,387","30,663"
"6113","広告宣伝費","0","0","0","0","0","0","0","305,576","302,583","413,160","362,756","213,960"
"6114","販売促進費","0","0","0","0","0","0","0","17,527","29,955","23,373","18,735","18,503"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","-3,347","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","11,825","49,317","28,210","0"
"6117","支払手数料","0","0","0","0","0","0","0","183,172","135,700","153,419","804,670","178,486"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
