"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"4111","売上高","0","0","0","0","6,270,054","6,407,125","7,451,627","6,790,923","6,195,682","7,577,912","7,001,606","7,373,153"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","6,270,054","6,407,125","7,451,627","6,790,923","6,195,682","7,577,912","7,001,606","7,373,153"
"5111","期首棚卸高","0","0","0","0","649,559","495,669","501,563","850,214","541,955","566,223","392,387","492,079"
"5311","期末棚卸高        (△)","0","0","0","0","495,669","501,563","850,214","541,955","566,223","392,387","492,079","409,644"
"5211","商品仕入高","0","0","0","0","1,726,265","2,070,248","1,335,779","3,103,251","1,985,105","2,119,380","2,136,522","2,117,953"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","1,880,155","2,064,354","987,128","3,411,510","1,960,837","2,293,216","2,036,830","2,200,388"
,"売上総利益","0","0","0","0","4,389,899","4,342,771","6,464,499","3,379,413","4,234,845","5,284,696","4,964,776","5,172,765"
"6111","給与手当","0","0","0","0","391,300","405,600","405,600","407,600","630,600","619,600","617,600","622,600"
"6311","雑給","0","0","0","0","1,571,120","1,390,350","1,835,099","1,644,455","1,453,080","1,640,569","1,411,103","1,455,576"
"6112","旅費交通費","0","0","0","0","122,309","108,982","130,082","116,428","97,218","112,036","125,746","129,945"
